Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C3, C5, C6, C7, C8, C9",0201,10,1u,
"C14, C15",0402,2,15pF,
"C16, C18, C21, C22, C30",0402,5,1uF,
"C17, C29",0402,2,100n,
"C19, C20, C23, C24, C25, C26, C27, C28",0402,8,100nF,
C2,0201,1,4.7u,
C4,0201,1,0.1u,
"D1, D5, D6",Nexperia_CFP3_SOD-123W,3,D,
D4,D_SOD-123F,1,MBR1020VL,
FB1,0805,1,FerriteBead_Small,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,
L1,0805,1,68uH,
Q1,TSOT-23,1,DMG1012UW-7,
"R13, R14",0805,2,1k,
R15,0805,1,DNF,
"R16, R17, R18, R19, R20, R21",0805,6,10k,
"R2, R3",0805,2,20k,
"R22, R23, R24",0805,3,5.1K,
"R25, R26",0805,2,27.4,
R4,0805,1,3,
RX1,0805,1,R,
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,BOOT_SEL,C318884
U1,SOP65P640X110-16N,1,SC18IS606PWJ,
U2,24pin0.5mm,1,e-paper,
U3,SOT-23-5,1,AP2112K-3.3,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U5,SOT-666,1,USBLC6-2P6,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
